loss,Accuracy,F1-Score
1.44943257,0.393538724,0.378534718
1.343276977,0.465059278,0.459816648
1.207938827,0.527312144,0.508093991
1.404729241,0.439955438,0.426978703
1.333519206,0.478357712,0.477351033
1.304711068,0.486596927,0.488466283
1.34844088,0.436093882,0.435686087
1.34267897,0.464004712,0.458691425
1.279940236,0.51226372,0.505929051
1.251576423,0.513888823,0.50316539
1.31660667,0.510427011,0.49525451
1.339402936,0.517356456,0.511964215
1.219118649,0.528406206,0.516663532
1.370003463,0.444612183,0.448315221
1.322344655,0.469188176,0.448295836
1.318548647,0.461380697,0.448030606
1.348910014,0.467927066,0.463079854
1.487745005,0.395041606,0.378398596
1.345652171,0.447370387,0.441612647
1.191194065,0.571892175,0.559070366
1.196800985,0.544909793,0.536127206
1.276758556,0.514628908,0.507063848
1.311167953,0.497585781,0.498745602
1.317066464,0.425344638,0.407075624
1.252152252,0.527729824,0.511900311
1.216482348,0.562505351,0.55882243
1.400574764,0.428296009,0.432035964
1.324471735,0.437865158,0.432945463
1.351043109,0.459337406,0.453449289
1.408981952,0.440816656,0.433067711
1.196141861,0.556442042,0.551234439
1.34506428,0.430936158,0.429445575
1.427244131,0.436194692,0.432309513
1.312899893,0.498677582,0.497686316
1.298670106,0.533550918,0.522696225
1.270277162,0.514287077,0.506135255
1.280316524,0.512257104,0.498600841
1.16453421,0.532521855,0.510471634
1.226174647,0.531975987,0.515601127
1.382017095,0.486126904,0.470446933
1.168149477,0.525763166,0.52033547
1.19636078,0.52784282,0.522559439
1.445768385,0.440449601,0.439958406
1.390832992,0.481632222,0.46659917
1.332343782,0.444551054,0.420338364
1.422496244,0.410456348,0.400936198
1.298058048,0.503768311,0.503693712
1.359061759,0.413083387,0.401599843
1.269588604,0.526242329,0.522238781
1.331036876,0.492970648,0.47896226
1.384562712,0.392644148,0.396102224
1.375951281,0.444663113,0.432905925
1.222938989,0.569997719,0.552702476
1.269394464,0.498006661,0.480720053
1.17162824,0.556851385,0.546032776
1.261519445,0.465671034,0.446216105
1.479732337,0.41518028,0.413534999
1.390613061,0.445463271,0.433897762
1.342852656,0.495842428,0.498929453
1.315106682,0.478629301,0.462280837
1.20599203,0.549933362,0.535132888
1.457057252,0.445936378,0.424872331
1.309861337,0.47796971,0.467233175
1.222308267,0.553414626,0.537739766
1.287309747,0.469422048,0.46681425
1.455602938,0.387761738,0.372953398
1.326563217,0.475020232,0.469343574
1.229282948,0.501475656,0.501893355
1.242316903,0.514469319,0.493569192
1.23359864,0.553457704,0.533533538
1.34453478,0.447951482,0.43724562
1.253411938,0.49670158,0.483820136
1.469584529,0.416761387,0.414604579
1.330737946,0.442459756,0.427586975
1.166040395,0.571597678,0.571516183
1.291185428,0.518780918,0.503659281
1.352939275,0.453040707,0.451901778
1.354273861,0.478945208,0.481712884
1.370769403,0.479535531,0.469163794
1.263578807,0.502972169,0.505765165
1.266042851,0.509321674,0.496571103
1.330793361,0.492811677,0.49509103
1.331910673,0.48179529,0.483712525
1.368229311,0.441375221,0.429632157
1.139644966,0.57049399,0.565572886
1.248266574,0.554885272,0.549358092
1.307992814,0.528356189,0.506376338
1.183545128,0.593543937,0.571153406
1.351328189,0.4632972,0.454155778
1.491350014,0.45877024,0.456683565
1.362963106,0.43081208,0.421541615
1.306524562,0.486507666,0.484994659
