loss,Accuracy,F1-Score
1.451933334,0.370160755,0.356117229
1.40761499,0.447158928,0.438899179
1.288413693,0.514705604,0.503069309
1.36440814,0.475788729,0.470401031
1.376098007,0.458511925,0.441425094
1.443877198,0.432620395,0.420762189
1.406571499,0.438337517,0.404836273
1.203280445,0.557446688,0.549549954
1.405209505,0.447886344,0.438241197
1.327310361,0.436876803,0.426434144
1.400664883,0.438903422,0.425136025
1.381495281,0.455224984,0.435411156
1.423438484,0.401188952,0.397890427
1.223230229,0.543969822,0.52571281
1.304952548,0.499707956,0.4920005
1.39981456,0.428175519,0.404922085
1.425742558,0.429223685,0.416042437
1.490350611,0.367083563,0.362537511
1.325439409,0.48557405,0.491434042
1.514901899,0.391801937,0.384169295
1.440743408,0.410161031,0.421784647
1.268792323,0.528451161,0.509198244
1.359070974,0.478937894,0.4746318
1.480488916,0.381300224,0.379333491
1.403699968,0.371758418,0.35424013
1.356400855,0.476517035,0.470322451
1.446209286,0.426813188,0.389127803
1.399682277,0.451014856,0.424509935
1.426134581,0.41268676,0.392521264
1.318129973,0.513938101,0.497544535
1.285248378,0.518031427,0.516287258
1.407785545,0.41189913,0.40834834
1.475071549,0.440597299,0.432873354
1.312750425,0.490726049,0.483732363
1.315877747,0.512226947,0.503839565
1.389908636,0.453971461,0.443572162
1.407553868,0.454243913,0.433180502
1.438945469,0.397099139,0.370610428
1.295794036,0.510569379,0.507913564
1.399171663,0.436509014,0.43275612
1.38649893,0.476395786,0.454363987
1.307861562,0.48080614,0.477090432
1.377403657,0.465467327,0.457382918
1.329848425,0.508598468,0.506766618
1.37229922,0.448588394,0.434508136
1.508004545,0.361295893,0.360901373
1.354476953,0.476959956,0.460926824
1.25630084,0.511964087,0.502286051
1.438561089,0.418122333,0.41279959
1.323466385,0.448085545,0.433561725
1.489364754,0.373061199,0.361171361
1.250564872,0.534987902,0.512626497
1.42076384,0.457644165,0.447255547
1.334263426,0.460049668,0.456303185
1.349854162,0.469265608,0.446879202
1.337032244,0.45905817,0.44159618
1.297335006,0.515147103,0.507162548
1.496512003,0.378135422,0.368349149
1.241527881,0.550551246,0.537001086
1.454892464,0.444519496,0.431760079
1.366078151,0.463334486,0.428876275
1.406176486,0.41885672,0.400294995
1.397830912,0.43151928,0.422948115
1.299938551,0.496933377,0.485213527
1.524005945,0.35144726,0.342663381
1.237944854,0.570421226,0.551744112
1.477195652,0.374470447,0.354364031
1.212782546,0.531202239,0.526888999
1.128676704,0.57734646,0.548422879
1.29361341,0.484013364,0.481844047
1.467800773,0.384852884,0.370215129
1.327690143,0.501823245,0.49426503
1.509096304,0.428544295,0.407920357
1.322527338,0.497772563,0.494987723
1.256731234,0.526092743,0.509964927
1.464209446,0.408473776,0.388119605
1.404848458,0.424558966,0.414890551
1.446019486,0.392679138,0.377587721
1.315979355,0.484800912,0.465747945
1.420173917,0.406681399,0.406236637
1.319869013,0.497454063,0.487539832
1.379560311,0.467392323,0.457263438
1.305084126,0.480680999,0.476735276
1.305320365,0.4700456,0.456941102
1.397270552,0.441997124,0.440507431
1.388161811,0.428738456,0.416597805
1.316266794,0.49165559,0.487354432
1.30849115,0.49182971,0.477769336
1.31396786,0.486902596,0.474212771
1.443522902,0.405387791,0.387457576
1.545218904,0.381023629,0.385170428
1.274091914,0.522485006,0.499284934
1.50962489,0.404691828,0.398559478
1.26271122,0.530715228,0.52435652
1.493483632,0.386659139,0.373373467
1.418419468,0.438283843,0.423579995
1.334664605,0.502071085,0.48865438
1.31689542,0.490838479,0.483570986
1.350487507,0.470220718,0.456498872
1.425774512,0.443268911,0.434911204
1.363400835,0.475384914,0.45740124
